"ID";"Geslacht";"LeeftijdOp31December";"Geboorteland";"BurgerlijkeStaat";"Perioden";"Immigratie_1"
"2908709";"T001038";"60200";"G008533";"T001019";"2009JJ00";"     273"
"2908710";"T001038";"60200";"G008533";"T001019";"2010JJ00";"     534"
"2908711";"T001038";"60200";"G008533";"T001019";"2011JJ00";"     511"
"2908712";"T001038";"60200";"G008533";"T001019";"2012JJ00";"     326"
"2908713";"T001038";"60200";"G008533";"T001019";"2013JJ00";"     285"
"2908714";"T001038";"60200";"G008533";"T001019";"2014JJ00";"     160"
"2908715";"T001038";"60200";"G008533";"T001019";"2015JJ00";"     164"
"2908716";"T001038";"60200";"G008533";"T001019";"2016JJ00";"     654"
"2908717";"T001038";"60200";"G008533";"T001019";"2017JJ00";"     269"
"2911570";"T001038";"60200";"G008559";"T001019";"1995JJ00";"      20"
"2911571";"T001038";"60200";"G008559";"T001019";"1996JJ00";"       9"
"2911572";"T001038";"60200";"G008559";"T001019";"1997JJ00";"       2"
"2911573";"T001038";"60200";"G008559";"T001019";"1998JJ00";"       0"
"2911574";"T001038";"60200";"G008559";"T001019";"1999JJ00";"       2"
"2911575";"T001038";"60200";"G008559";"T001019";"2000JJ00";"       0"
"2911576";"T001038";"60200";"G008559";"T001019";"2001JJ00";"       0"
"2911577";"T001038";"60200";"G008559";"T001019";"2002JJ00";"       5"
"2911578";"T001038";"60200";"G008559";"T001019";"2003JJ00";"       7"
"2911579";"T001038";"60200";"G008559";"T001019";"2004JJ00";"       4"
"2911580";"T001038";"60200";"G008559";"T001019";"2005JJ00";"       3"
"2911581";"T001038";"60200";"G008559";"T001019";"2006JJ00";"       5"
"2911582";"T001038";"60200";"G008559";"T001019";"2007JJ00";"       4"
"2911583";"T001038";"60200";"G008559";"T001019";"2008JJ00";"       6"
"2911584";"T001038";"60200";"G008559";"T001019";"2009JJ00";"       5"
"2911585";"T001038";"60200";"G008559";"T001019";"2010JJ00";"       7"
"2911586";"T001038";"60200";"G008559";"T001019";"2011JJ00";"      10"
"2911587";"T001038";"60200";"G008559";"T001019";"2012JJ00";"      15"
"2911588";"T001038";"60200";"G008559";"T001019";"2013JJ00";"      21"
"2911589";"T001038";"60200";"G008559";"T001019";"2014JJ00";"      13"
"2911590";"T001038";"60200";"G008559";"T001019";"2015JJ00";"      17"
"2911591";"T001038";"60200";"G008559";"T001019";"2016JJ00";"      20"
"2911592";"T001038";"60200";"G008559";"T001019";"2017JJ00";"      21"
"2913295";"T001038";"60200";"G008575";"T001019";"1995JJ00";"     340"
"2913296";"T001038";"60200";"G008575";"T001019";"1996JJ00";"     318"
"2913297";"T001038";"60200";"G008575";"T001019";"1997JJ00";"     691"
"2913298";"T001038";"60200";"G008575";"T001019";"1998JJ00";"     677"
"2913299";"T001038";"60200";"G008575";"T001019";"1999JJ00";"     628"
"2913300";"T001038";"60200";"G008575";"T001019";"2000JJ00";"     831"
"2913301";"T001038";"60200";"G008575";"T001019";"2001JJ00";"    1011"
"2913302";"T001038";"60200";"G008575";"T001019";"2002JJ00";"     645"
"2913303";"T001038";"60200";"G008575";"T001019";"2003JJ00";"     446"
"2913304";"T001038";"60200";"G008575";"T001019";"2004JJ00";"     283"
"2913305";"T001038";"60200";"G008575";"T001019";"2005JJ00";"     247"
"2913306";"T001038";"60200";"G008575";"T001019";"2006JJ00";"     303"
"2913307";"T001038";"60200";"G008575";"T001019";"2007JJ00";"     363"
"2913308";"T001038";"60200";"G008575";"T001019";"2008JJ00";"     491"
"2913309";"T001038";"60200";"G008575";"T001019";"2009JJ00";"     472"
"2913310";"T001038";"60200";"G008575";"T001019";"2010JJ00";"     418"
"2913311";"T001038";"60200";"G008575";"T001019";"2011JJ00";"     475"
"2913312";"T001038";"60200";"G008575";"T001019";"2012JJ00";"     482"
"2913313";"T001038";"60200";"G008575";"T001019";"2013JJ00";"     413"
"2913314";"T001038";"60200";"G008575";"T001019";"2014JJ00";"     454"
"2913315";"T001038";"60200";"G008575";"T001019";"2015JJ00";"     489"
"2913316";"T001038";"60200";"G008575";"T001019";"2016JJ00";"     504"
"2913317";"T001038";"60200";"G008575";"T001019";"2017JJ00";"     525"
"2915480";"T001038";"60200";"G008597";"T001019";"1995JJ00";"       2"
"2915481";"T001038";"60200";"G008597";"T001019";"1996JJ00";"      17"
"2915482";"T001038";"60200";"G008597";"T001019";"1997JJ00";"      23"
"2915483";"T001038";"60200";"G008597";"T001019";"1998JJ00";"      21"
"2915484";"T001038";"60200";"G008597";"T001019";"1999JJ00";"      15"
"2915485";"T001038";"60200";"G008597";"T001019";"2000JJ00";"      25"
"2915486";"T001038";"60200";"G008597";"T001019";"2001JJ00";"      21"
"2915487";"T001038";"60200";"G008597";"T001019";"2002JJ00";"      17"
"2915488";"T001038";"60200";"G008597";"T001019";"2003JJ00";"       8"
"2915489";"T001038";"60200";"G008597";"T001019";"2004JJ00";"      10"
"2915490";"T001038";"60200";"G008597";"T001019";"2005JJ00";"      11"
"2915491";"T001038";"60200";"G008597";"T001019";"2006JJ00";"       8"
"2915492";"T001038";"60200";"G008597";"T001019";"2007JJ00";"      20"
"2915493";"T001038";"60200";"G008597";"T001019";"2008JJ00";"      19"
"2915494";"T001038";"60200";"G008597";"T001019";"2009JJ00";"      34"
"2915495";"T001038";"60200";"G008597";"T001019";"2010JJ00";"      38"
"2915496";"T001038";"60200";"G008597";"T001019";"2011JJ00";"      36"
"2915497";"T001038";"60200";"G008597";"T001019";"2012JJ00";"      32"
"2915498";"T001038";"60200";"G008597";"T001019";"2013JJ00";"     107"
"2915499";"T001038";"60200";"G008597";"T001019";"2014JJ00";"     496"
"2915500";"T001038";"60200";"G008597";"T001019";"2015JJ00";"    1319"
"2915501";"T001038";"60200";"G008597";"T001019";"2016JJ00";"    1462"
"2915502";"T001038";"60200";"G008597";"T001019";"2017JJ00";"    1532"
"2919390";"T001038";"60200";"G008633";"T001019";"1995JJ00";"     417"
"2919391";"T001038";"60200";"G008633";"T001019";"1996JJ00";"     810"
"2919392";"T001038";"60200";"G008633";"T001019";"1997JJ00";"    1024"
"2919393";"T001038";"60200";"G008633";"T001019";"1998JJ00";"    1083"
"2919394";"T001038";"60200";"G008633";"T001019";"1999JJ00";"     751"
"2919395";"T001038";"60200";"G008633";"T001019";"2000JJ00";"     843"
"2919396";"T001038";"60200";"G008633";"T001019";"2001JJ00";"     682"
"2919397";"T001038";"60200";"G008633";"T001019";"2002JJ00";"     359"
"2919398";"T001038";"60200";"G008633";"T001019";"2003JJ00";"     285"
"2919399";"T001038";"60200";"G008633";"T001019";"2004JJ00";"     227"
"2919400";"T001038";"60200";"G008633";"T001019";"2005JJ00";"     204"
"2919401";"T001038";"60200";"G008633";"T001019";"2006JJ00";"     215"
"2919402";"T001038";"60200";"G008633";"T001019";"2007JJ00";"     358"
"2919403";"T001038";"60200";"G008633";"T001019";"2008JJ00";"     508"
"2919404";"T001038";"60200";"G008633";"T001019";"2009JJ00";"     591"
"2919405";"T001038";"60200";"G008633";"T001019";"2010JJ00";"     436"
"2919406";"T001038";"60200";"G008633";"T001019";"2011JJ00";"     271"
"2919407";"T001038";"60200";"G008633";"T001019";"2012JJ00";"     240"
"2919408";"T001038";"60200";"G008633";"T001019";"2013JJ00";"     277"
"2919409";"T001038";"60200";"G008633";"T001019";"2014JJ00";"     192"
"2919410";"T001038";"60200";"G008633";"T001019";"2015JJ00";"     149"
"2919411";"T001038";"60200";"G008633";"T001019";"2016JJ00";"     446"
"2919412";"T001038";"60200";"G008633";"T001019";"2017JJ00";"     317"
"2919505";"T001038";"60200";"G008634";"T001019";"1995JJ00";"     425"
"2919506";"T001038";"60200";"G008634";"T001019";"1996JJ00";"     517"
"2919507";"T001038";"60200";"G008634";"T001019";"1997JJ00";"     359"
"2919508";"T001038";"60200";"G008634";"T001019";"1998JJ00";"     235"
"2919509";"T001038";"60200";"G008634";"T001019";"1999JJ00";"     233"
"2919510";"T001038";"60200";"G008634";"T001019";"2000JJ00";"     306"
"2919511";"T001038";"60200";"G008634";"T001019";"2001JJ00";"     367"
"2919512";"T001038";"60200";"G008634";"T001019";"2002JJ00";"     243"
"2919513";"T001038";"60200";"G008634";"T001019";"2003JJ00";"     126"
"2919514";"T001038";"60200";"G008634";"T001019";"2004JJ00";"      96"
"2919515";"T001038";"60200";"G008634";"T001019";"2005JJ00";"      51"
"2919516";"T001038";"60200";"G008634";"T001019";"2006JJ00";"      50"
"2919517";"T001038";"60200";"G008634";"T001019";"2007JJ00";"      57"
"2919518";"T001038";"60200";"G008634";"T001019";"2008JJ00";"      46"
"2919519";"T001038";"60200";"G008634";"T001019";"2009JJ00";"     101"
"2919520";"T001038";"60200";"G008634";"T001019";"2010JJ00";"     111"
"2919521";"T001038";"60200";"G008634";"T001019";"2011JJ00";"     148"
"2919522";"T001038";"60200";"G008634";"T001019";"2012JJ00";"     133"
"2919523";"T001038";"60200";"G008634";"T001019";"2013JJ00";"     138"
"2919524";"T001038";"60200";"G008634";"T001019";"2014JJ00";"      79"
"2919525";"T001038";"60200";"G008634";"T001019";"2015JJ00";"      97"
"2919526";"T001038";"60200";"G008634";"T001019";"2016JJ00";"     215"
