"ID";"Nationaliteit";"Perioden";"TotaalAsielverzoekenEnNareizigers_1"
"482";"NAT9295  ";"2017JJ00";"      15"
"483";"NAT9295  ";"2018JJ00";"      15"
"484";"NAT9298  ";"1975JJ00";"       ."
"485";"NAT9298  ";"1976JJ00";"       ."
"486";"NAT9298  ";"1977JJ00";"       ."
"487";"NAT9298  ";"1978JJ00";"       ."
"488";"NAT9298  ";"1979JJ00";"       ."
"489";"NAT9298  ";"1980JJ00";"       ."
"490";"NAT9298  ";"1981JJ00";"       ."
"491";"NAT9298  ";"1982JJ00";"       ."
"492";"NAT9298  ";"1983JJ00";"       ."
"493";"NAT9298  ";"1984JJ00";"       ."
"494";"NAT9298  ";"1985JJ00";"       ."
"495";"NAT9298  ";"1986JJ00";"       ."
"496";"NAT9298  ";"1987JJ00";"       ."
"497";"NAT9298  ";"1988JJ00";"       ."
"498";"NAT9298  ";"1989JJ00";"       ."
"499";"NAT9298  ";"1990JJ00";"       ."
"500";"NAT9298  ";"1991JJ00";"       ."
"501";"NAT9298  ";"1992JJ00";"     815"
"502";"NAT9298  ";"1993JJ00";"    4940"
"503";"NAT9298  ";"1994JJ00";"    8635"
"504";"NAT9298  ";"1995JJ00";"    4225"
"505";"NAT9298  ";"1996JJ00";"     985"
"506";"NAT9298  ";"1997JJ00";"    1970"
"507";"NAT9298  ";"1998JJ00";"    3770"
"508";"NAT9298  ";"1999JJ00";"    1170"
"509";"NAT9298  ";"2000JJ00";"    1635"
"510";"NAT9298  ";"2001JJ00";"    1025"
"511";"NAT9298  ";"2002JJ00";"     220"
"512";"NAT9298  ";"2003JJ00";"     105"
"513";"NAT9298  ";"2004JJ00";"      55"
"514";"NAT9298  ";"2005JJ00";"      95"
"515";"NAT9298  ";"2006JJ00";"     115"
"516";"NAT9298  ";"2007JJ00";"      20"
"517";"NAT9298  ";"2008JJ00";"      15"
"518";"NAT9298  ";"2009JJ00";"      20"
"519";"NAT9298  ";"2010JJ00";"      10"
"520";"NAT9298  ";"2011JJ00";"      30"
"521";"NAT9298  ";"2012JJ00";"      70"
"522";"NAT9298  ";"2013JJ00";"      85"
"523";"NAT9298  ";"2014JJ00";"     130"
"524";"NAT9298  ";"2015JJ00";"     125"
"525";"NAT9298  ";"2016JJ00";"     295"
"526";"NAT9298  ";"2017JJ00";"      70"
"527";"NAT9298  ";"2018JJ00";"      60"
"528";"NAT9303  ";"1975JJ00";"       ."
"529";"NAT9303  ";"1976JJ00";"       ."
"530";"NAT9303  ";"1977JJ00";"       ."
"531";"NAT9303  ";"1978JJ00";"       ."
"532";"NAT9303  ";"1979JJ00";"       ."
"533";"NAT9303  ";"1980JJ00";"      20"
"534";"NAT9303  ";"1981JJ00";"       ."
"535";"NAT9303  ";"1982JJ00";"       ."
"536";"NAT9303  ";"1983JJ00";"      15"
"537";"NAT9303  ";"1984JJ00";"       ."
"538";"NAT9303  ";"1985JJ00";"       ."
"539";"NAT9303  ";"1986JJ00";"       ."
"540";"NAT9303  ";"1987JJ00";"       ."
"541";"NAT9303  ";"1988JJ00";"      15"
"542";"NAT9303  ";"1989JJ00";"      40"
"543";"NAT9303  ";"1990JJ00";"     510"
"544";"NAT9303  ";"1991JJ00";"     440"
"545";"NAT9303  ";"1992JJ00";"     195"
"546";"NAT9303  ";"1993JJ00";"     345"
"547";"NAT9303  ";"1994JJ00";"     465"
"548";"NAT9303  ";"1995JJ00";"     145"
"549";"NAT9303  ";"1996JJ00";"      55"
