"ID";"Geslacht";"LeeftijdOp31December";"Geboorteland";"BurgerlijkeStaat";"Perioden";"Immigratie_1"
"3288897";"3000   ";"10000";"G008753";"T001019";"2007JJ00";"      91"
"3288898";"3000   ";"10000";"G008753";"T001019";"2008JJ00";"     108"
"3288899";"3000   ";"10000";"G008753";"T001019";"2009JJ00";"     105"
"3288900";"3000   ";"10000";"G008753";"T001019";"2010JJ00";"     166"
"3288901";"3000   ";"10000";"G008753";"T001019";"2011JJ00";"     163"
"3288902";"3000   ";"10000";"G008753";"T001019";"2012JJ00";"     322"
"3288903";"3000   ";"10000";"G008753";"T001019";"2013JJ00";"    1217"
"3288904";"3000   ";"10000";"G008753";"T001019";"2014JJ00";"    5451"
"3288905";"3000   ";"10000";"G008753";"T001019";"2015JJ00";"   12097"
"3288906";"3000   ";"10000";"G008753";"T001019";"2016JJ00";"   17135"
"3288907";"3000   ";"10000";"G008753";"T001019";"2017JJ00";"    7576"
"3290610";"3000   ";"10000";"G008766";"T001019";"1995JJ00";"    2404"
"3290611";"3000   ";"10000";"G008766";"T001019";"1996JJ00";"    3029"
"3290612";"3000   ";"10000";"G008766";"T001019";"1997JJ00";"    3069"
"3290613";"3000   ";"10000";"G008766";"T001019";"1998JJ00";"    2585"
"3290614";"3000   ";"10000";"G008766";"T001019";"1999JJ00";"    2325"
"3290615";"3000   ";"10000";"G008766";"T001019";"2000JJ00";"    2845"
"3290616";"3000   ";"10000";"G008766";"T001019";"2001JJ00";"    3283"
"3290617";"3000   ";"10000";"G008766";"T001019";"2002JJ00";"    3365"
"3290618";"3000   ";"10000";"G008766";"T001019";"2003JJ00";"    3927"
"3290619";"3000   ";"10000";"G008766";"T001019";"2004JJ00";"    2478"
"3290620";"3000   ";"10000";"G008766";"T001019";"2005JJ00";"    1843"
"3290621";"3000   ";"10000";"G008766";"T001019";"2006JJ00";"    1747"
"3290622";"3000   ";"10000";"G008766";"T001019";"2007JJ00";"    1633"
"3290623";"3000   ";"10000";"G008766";"T001019";"2008JJ00";"    2458"
"3290624";"3000   ";"10000";"G008766";"T001019";"2009JJ00";"    2376"
"3290625";"3000   ";"10000";"G008766";"T001019";"2010JJ00";"    2717"
"3290626";"3000   ";"10000";"G008766";"T001019";"2011JJ00";"    2440"
"3290627";"3000   ";"10000";"G008766";"T001019";"2012JJ00";"    2221"
"3290628";"3000   ";"10000";"G008766";"T001019";"2013JJ00";"    2135"
"3290629";"3000   ";"10000";"G008766";"T001019";"2014JJ00";"    2022"
"3290630";"3000   ";"10000";"G008766";"T001019";"2015JJ00";"    2017"
"3290631";"3000   ";"10000";"G008766";"T001019";"2016JJ00";"    2408"
"3290632";"3000   ";"10000";"G008766";"T001019";"2017JJ00";"    3247"
"6528435";"4000   ";"10000";"G008533";"T001019";"1995JJ00";"     637"
"6528436";"4000   ";"10000";"G008533";"T001019";"1996JJ00";"    1217"
"6528437";"4000   ";"10000";"G008533";"T001019";"1997JJ00";"    1592"
"6528438";"4000   ";"10000";"G008533";"T001019";"1998JJ00";"    1638"
"6528439";"4000   ";"10000";"G008533";"T001019";"1999JJ00";"    2288"
"6528440";"4000   ";"10000";"G008533";"T001019";"2000JJ00";"    1886"
"6528441";"4000   ";"10000";"G008533";"T001019";"2001JJ00";"    1842"
"6528442";"4000   ";"10000";"G008533";"T001019";"2002JJ00";"    1262"
"6528443";"4000   ";"10000";"G008533";"T001019";"2003JJ00";"     921"
"6528444";"4000   ";"10000";"G008533";"T001019";"2004JJ00";"     507"
"6528445";"4000   ";"10000";"G008533";"T001019";"2005JJ00";"     485"
"6528446";"4000   ";"10000";"G008533";"T001019";"2006JJ00";"     375"
"6528447";"4000   ";"10000";"G008533";"T001019";"2007JJ00";"     270"
"6528448";"4000   ";"10000";"G008533";"T001019";"2008JJ00";"     307"
"6528449";"4000   ";"10000";"G008533";"T001019";"2009JJ00";"     479"
"6528450";"4000   ";"10000";"G008533";"T001019";"2010JJ00";"     637"
"6528451";"4000   ";"10000";"G008533";"T001019";"2011JJ00";"     719"
"6528452";"4000   ";"10000";"G008533";"T001019";"2012JJ00";"     587"
"6528453";"4000   ";"10000";"G008533";"T001019";"2013JJ00";"     566"
"6528454";"4000   ";"10000";"G008533";"T001019";"2014JJ00";"     403"
"6528455";"4000   ";"10000";"G008533";"T001019";"2015JJ00";"     446"
"6528456";"4000   ";"10000";"G008533";"T001019";"2016JJ00";"     874"
"6528457";"4000   ";"10000";"G008533";"T001019";"2017JJ00";"     458"
"6531310";"4000   ";"10000";"G008559";"T001019";"1995JJ00";"      96"
"6531311";"4000   ";"10000";"G008559";"T001019";"1996JJ00";"      67"
"6531312";"4000   ";"10000";"G008559";"T001019";"1997JJ00";"      26"
"6531313";"4000   ";"10000";"G008559";"T001019";"1998JJ00";"      18"
